"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000162407.8",25961.4343070085,-0.97955342807966,0.0730280654188036,4.6710334233515e-42,1.21432496596606e-39,"PLPP3","8613"
"ENSG00000138735.15",7416.63546179855,-1.13600568627746,0.0862426044050825,9.83078435789622e-41,2.51697869817773e-38,"PDE5A","8654"
"ENSG00000112837.16",2648.24061319608,-1.69564262156581,0.129503164818758,1.17471612021434e-40,2.96273925363909e-38,"TBX18","9096"
"ENSG00000136999.4",443.601358366811,-2.55640447188688,0.196083641517764,1.34081240186801e-40,3.33191881864201e-38,"CCN3","4856"
"ENSG00000168309.17",143.771338421006,4.77147431060531,0.364374390005326,2.22575884353502e-40,5.45085115044272e-38,"FAM107A","11170"
"ENSG00000130513.6",460.144309414145,-1.88483250602058,0.144674497270011,4.90768910868154e-40,1.18471615083572e-37,"GDF15","9518"
"ENSG00000099337.4",945.055619601673,2.48295276446389,0.192713149156475,6.53057256067276e-40,1.55427626944012e-37,"KCNK6","9424"
"ENSG00000115457.9",1913.35395245421,2.17522372777711,0.168792749596093,7.14894136565038e-40,1.67781682217722e-37,"IGFBP2","3485"
"ENSG00000149218.4",2036.70250628355,1.92621277648005,0.14958762785441,1.37340609512597e-39,3.17915290348474e-37,"ENDOD1","23052"
"ENSG00000068383.18",1415.65977337147,1.37375751302312,0.106034720823095,1.50951729720187e-39,3.44700314704287e-37,"INPP5A","3632"
"ENSG00000101825.7",4707.25582980976,-1.28422726998567,0.0993158234368488,1.87870576016295e-39,4.23284932469781e-37,"MXRA5","25878"
"ENSG00000147027.3",12612.7080646321,1.14454333792738,0.0895386112472815,1.48218372775631e-38,3.29551850416133e-36,"TMEM47","83604"
"ENSG00000020577.13",3114.40595161377,1.21653529949134,0.0953899640776638,2.33811407494694e-38,5.13109761538357e-36,"SAMD4A","23034"
"ENSG00000163513.17",13250.0625126029,1.45856786257378,0.115473697424589,6.43250690834142e-38,1.39354489406607e-35,"TGFBR2","7048"
"ENSG00000197043.13",14126.7380652803,0.95453747263125,0.0751809401233883,7.62146636567853e-38,1.63022200819286e-35,"ANXA6","309"
"ENSG00000131389.17",737.562405916608,-2.0029282482319,0.15949170583771,8.33893084617693e-38,1.76139066798372e-35,"SLC6A6","6533"
"ENSG00000116584.17",2243.19187445279,-1.03502965674001,0.0819584048409221,1.09574308556508e-37,2.28590946418256e-35,"ARHGEF2","9181"
"ENSG00000071282.11",4041.04277557092,1.60296382988637,0.127705416886226,1.5735520103011e-37,3.24266852074e-35,"LMCD1","29995"
"ENSG00000150907.7",681.955402897821,2.21786837579617,0.177708887778492,1.98097058153391e-37,4.03306516707951e-35,"FOXO1","2308"
"ENSG00000122035.6",917.206710173093,2.13867812341652,0.171872156860791,3.31237325404976e-37,6.6633908627301e-35,"RASL11A","387496"
"ENSG00000196517.11",238.186943489777,-2.37106729807615,0.190692599378258,6.61238128631959e-37,1.31454139972033e-34,"SLC6A9","6536"
"ENSG00000227051.6",4593.53032850976,-1.08013709758818,0.0864533487840017,8.54508845196282e-37,1.67901051931707e-34,"C14orf132","56967"
"ENSG00000185950.8",2264.00736508149,2.08896213802574,0.169512558973127,1.03453188524863e-36,2.00937009160131e-34,"IRS2","8660"
"ENSG00000221869.4",1984.54751267686,1.52683091012119,0.12310599536183,1.16314665743681e-36,2.23350593379173e-34,"CEBPD","1052"
"ENSG00000131831.17",1008.18235821912,1.44490817210893,0.116177596645683,1.1896464058284e-36,2.25872415344812e-34,"RAI2","10742"
"ENSG00000221866.9",844.085591848989,2.69440240205452,0.221719542953435,3.66546796385461e-36,6.88211973924614e-34,"PLXNA4","91584"
"ENSG00000146122.16",2581.08122020043,1.64832563341771,0.134487177085612,4.88974852673306e-36,9.07988687964124e-34,"DAAM2","23500"
"ENSG00000137809.16",1175.29241709048,-1.65994618115815,0.1352319199973,4.95406756808866e-36,9.09932975712632e-34,"ITGA11","22801"
"ENSG00000119138.4",1702.51196553702,2.05986717809257,0.169034535131277,5.43354685686542e-36,9.87269621368945e-34,"KLF9","687"
"ENSG00000099998.17",530.11968358194,2.2587226794029,0.184704109926882,6.56711183341125e-36,1.18054314639344e-33,"GGT5","2687"
"ENSG00000008256.15",3726.70861360186,1.20082356576889,0.0976705683292135,6.66801640919101e-36,1.18606464507905e-33,"CYTH3","9265"
"ENSG00000180914.10",538.968472248467,1.84547786639108,0.150888631872078,1.494298995148e-35,2.63027754375113e-33,"OXTR","5021"
"ENSG00000125868.15",15818.9582894908,0.889195034287775,0.0724838266112847,1.52594445690372e-35,2.65828963224321e-33,"DSTN","11034"
"ENSG00000108821.13",99655.6022027675,-1.21516507978098,0.0997604174417025,2.4109794076821e-35,4.15721735010328e-33,"COL1A1","1277"
"ENSG00000060718.21",350.650286007122,2.33638062248816,0.192574272107704,2.55478087113282e-35,4.36067547074772e-33,"COL11A1","1301"
"ENSG00000100242.15",3901.23932199666,1.68585898543833,0.139459476551202,3.77037465155797e-35,6.37117908620265e-33,"SUN2","25777"
